job_id,symbol,lane,experiment_type,priority,target_positives,target_rate,days_with_target,n_top_rules,best_score,best_f1,best_stability
259,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,104,0.003472106299869796,3,25,0.26533710836687463,0.2786885245901639,0.2544132223660015
263,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,104,0.003472106299869796,3,25,0.26533710836687463,0.2786885245901639,0.2544132223660015
257,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,131,0.004373518512335993,3,25,0.2630687973409087,0.27376425855513303,0.2543179654383615
241,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,237,0.007912396087203285,3,25,0.2597613100127678,0.26545454545454544,0.255103208287677
244,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,237,0.007912396087203285,3,25,0.2597613100127678,0.26545454545454544,0.255103208287677
485,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.25765741222345134,0.2666666666666666,0.25028620404263885
491,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.25765741222345134,0.2666666666666666,0.25028620404263885
240,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,237,0.007912396087203285,3,25,0.2558088216143408,0.26690391459074736,0.24673101827000815
264,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,110,0.003672420124862284,3,25,0.25508111398442945,0.28044280442804426,0.23433063998510817
246,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,128,0.004273361599839749,3,25,0.2550242187608377,0.2755905511811024,0.23819721950789383
270,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2545066341827168,0.25581395348837205,0.2534370092962716
245,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,237,0.007912396087203285,3,25,0.2543124891563808,0.26582278481012656,0.24489497453058884
474,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,255,0.00851333756218075,3,25,0.25430607734478483,0.2655172413793103,0.24513330677108214
115,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.2539511716219693,0.2857142857142857,0.2279631691828013
116,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.2539511716219693,0.2857142857142857,0.2279631691828013
475,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,255,0.00851333756218075,3,25,0.2539105051732614,0.26461538461538464,0.2451519674478878
478,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,255,0.00851333756218075,3,25,0.2539105051732614,0.26461538461538464,0.2451519674478878
479,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,255,0.00851333756218075,3,25,0.2539105051732614,0.26461538461538464,0.2451519674478878
252,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,131,0.004373518512335993,3,25,0.2513617298614458,0.2723735408560311,0.23417024813860327
72,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.25,0.25,0.25
102,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.25,0.25,0.25
109,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.25,0.25,0.25
273,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.24718748913977134,0.2565597667638484,0.23951926199279916
480,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.24639181692466205,0.26515151515151514,0.2310429729208731
486,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.24639181692466205,0.26515151515151514,0.2310429729208731
261,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,104,0.003472106299869796,3,25,0.24301593024529305,0.25116279069767444,0.2363503171478901
258,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,104,0.003472106299869796,3,25,0.24297013421574784,0.26282051282051283,0.22672891535730372
14,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.23968748475220086,0.2727272727272727,0.21265493095441476
350,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,6,0.00020031382499248823,3,25,0.23968748475220086,0.2727272727272727,0.21265493095441476
268,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,110,0.003672420124862284,3,25,0.23820833704223654,0.26666666666666666,0.21492424916770278
