product,day,n,mse,mae,ic,rank_ic,sign_acc,pseudo_sharpe
MICROCHIP_CIRCLE,4,24,0.00046841418952681124,0.017315799370408058,-0.10410258313567362,0.05217391304347826,0.4166666666666667,-0.562320186048661
MICROCHIP_OVAL,2,23,0.0008791813161224127,0.024988427758216858,-0.347878190538865,-0.3853754940711462,0.8695652173913043,24.03110462439298
MICROCHIP_OVAL,3,26,0.00265113590285182,0.04645394906401634,0.2049767650087344,0.24649572649572649,0.5384615384615384,12.123229901274005
MICROCHIP_OVAL,4,24,0.0007339748553931713,0.021604904904961586,-0.4645784049628463,-0.41478260869565214,0.5,-6.393751612758073
MICROCHIP_RECTANGLE,2,27,0.0014162170700728893,0.03201623633503914,0.1842447994434806,0.15995115995115994,0.37037037037037035,-3.4432476057193715
MICROCHIP_RECTANGLE,3,22,0.0017584816087037325,0.03520574793219566,0.16702171647707673,0.1959345002823264,0.45454545454545453,-2.3459797051634426
MICROCHIP_RECTANGLE,4,21,0.002444372046738863,0.04094871133565903,0.31460060474287466,0.24545454545454545,0.38095238095238093,-2.441741652934217
MICROCHIP_SQUARE,2,23,0.0011802645167335868,0.03278828412294388,0.2324120664052598,0.45553359683794475,0.34782608695652173,2.149684275478973
MICROCHIP_SQUARE,3,23,0.0008508313330821693,0.023256724700331688,0.4667825739835011,0.5108695652173914,0.6521739130434783,13.130180049172752
MICROCHIP_SQUARE,4,19,0.0008046494331210852,0.023125354200601578,0.09528283367537603,-0.031578947368421054,0.7894736842105263,23.523702906752817
MICROCHIP_TRIANGLE,2,23,0.0033003250136971474,0.05005154758691788,0.04382500277477769,0.023715415019762844,0.6521739130434783,5.5942793236121
MICROCHIP_TRIANGLE,3,21,0.0028397217392921448,0.046177949756383896,-0.08328997962315504,0.09678467545206278,0.7619047619047619,24.530801016504306
MICROCHIP_TRIANGLE,4,25,0.0009375066147185862,0.024456363171339035,0.28544330731857187,0.19384615384615386,0.6,4.497717540369342
OXYGEN_SHAKE_CHOCOLATE,2,20,0.0003321610565762967,0.013469976373016834,-0.43470906281046695,-0.3684210526315789,0.7,5.763032643962222
OXYGEN_SHAKE_CHOCOLATE,3,21,0.0007682411815039814,0.023440124467015266,0.3234285482809923,0.20129870129870128,0.42857142857142855,-0.4333383284525669
OXYGEN_SHAKE_CHOCOLATE,4,23,0.0005414593615569174,0.01906679943203926,-0.28627532960907653,-0.35079051383399207,0.34782608695652173,-8.808733610677942
OXYGEN_SHAKE_EVENING_BREATH,2,23,0.00024746180861257017,0.012520557269454002,-0.1196174015933543,-0.1116600790513834,0.782608695652174,19.709138905765297
OXYGEN_SHAKE_EVENING_BREATH,3,22,0.0016007027588784695,0.03155544772744179,0.7826934438580593,0.7526821005081875,0.6363636363636364,8.630612985644122
OXYGEN_SHAKE_EVENING_BREATH,4,23,0.0007116918568499386,0.02089114859700203,0.23883516296547094,0.1432806324110672,0.782608695652174,13.020406490920074
OXYGEN_SHAKE_GARLIC,2,22,0.0002915983786806464,0.014748969115316868,0.6115001064853447,0.611518915866742,0.6363636363636364,17.897772940704243
OXYGEN_SHAKE_GARLIC,3,23,0.00020070571918040514,0.011465406976640224,-0.04647546939962183,-0.20454545454545459,0.6956521739130435,13.689405170128165
OXYGEN_SHAKE_GARLIC,4,26,0.0012954937992617488,0.030780743807554245,0.5606790050193408,0.5357264957264957,0.3076923076923077,-12.288237524912486
OXYGEN_SHAKE_MINT,2,24,0.000448278384283185,0.017115144059062004,0.25609057984346345,0.2504347826086956,0.5833333333333334,7.295439154048442
OXYGEN_SHAKE_MINT,3,22,0.000946235319133848,0.027149857953190804,0.012766460685030909,-0.08639186900056467,0.4090909090909091,-0.054956795211065425
OXYGEN_SHAKE_MINT,4,20,0.0016346201300621033,0.033199429512023926,-0.395433830007704,-0.45112781954887216,0.45,-8.659518323131289
OXYGEN_SHAKE_MORNING_BREATH,2,24,0.0005263309576548636,0.018479755148291588,0.466402720603662,0.5165217391304348,0.75,14.632226577697224
OXYGEN_SHAKE_MORNING_BREATH,3,26,0.00155396678019315,0.0353940948843956,0.09956333240821952,0.16034188034188035,0.15384615384615385,-26.47649561034812
OXYGEN_SHAKE_MORNING_BREATH,4,23,0.0004987446591258049,0.016333280131220818,0.3266044612333714,0.34683794466403167,0.6086956521739131,7.688129911228787
PANEL_1X2,2,19,0.0007599202217534184,0.02404976822435856,0.5725739538364489,0.5842105263157895,0.47368421052631576,-2.251415824305406
PANEL_1X2,3,23,0.00034062814665958285,0.014569179154932499,0.24319338451405537,0.28260869565217395,0.782608695652174,19.78900060895928
PANEL_1X2,4,23,0.0007710371282882988,0.025499623268842697,0.26674817271832635,0.366600790513834,0.6086956521739131,15.564517248052576
PANEL_1X4,2,20,0.0016687944298610091,0.03688953071832657,0.3153356110204438,0.312781954887218,0.3,-8.919752121844466
PANEL_1X4,3,26,0.0015119460877031088,0.03443940356373787,0.4509837625730877,0.4858119658119658,0.5384615384615384,3.986487663201515
PANEL_1X4,4,25,0.0005706555675715208,0.018934370949864388,0.08028567356509254,0.09153846153846153,0.52,-0.42940697260085936
PANEL_2X2,2,21,0.000659966841340065,0.02156023308634758,0.051374947013083594,-0.01818181818181818,0.2857142857142857,-10.195423612697184
PANEL_2X2,3,21,0.0005594681133516133,0.0206980612128973,0.7141480446371744,0.464935064935065,0.8571428571428571,25.853216201205484
PANEL_2X2,4,25,0.00092737638624385,0.02122369222342968,-0.16028054918921586,-0.09076923076923075,0.48,-5.138967717594991
PANEL_2X4,2,21,0.0012844125740230083,0.03106108494102955,0.5535465657083066,0.5428571428571428,0.5238095238095238,3.252932850668712
PANEL_2X4,3,23,0.00013153238978702575,0.008667991496622562,0.20172452196604085,0.17490118577075098,0.6956521739130435,9.08969714769009
PANEL_2X4,4,22,0.0008794087334536016,0.022210104390978813,-0.27798613185626037,-0.15415019762845852,0.5,-3.47978146051246
PANEL_4X4,2,23,0.00042202393524348736,0.01495381910353899,0.20164326176447242,0.28952569169960474,0.8695652173913043,25.809707877041532
PANEL_4X4,3,21,0.001527919783256948,0.034754786640405655,0.29237814535951817,0.4194805194805195,0.2857142857142857,-6.417113564144379
PANEL_4X4,4,26,0.00226368079893291,0.04305136203765869,-0.5895754946990721,-0.6075213675213674,0.23076923076923078,-18.663412385693828
PEBBLES_L,2,18,0.004916816018521786,0.06645869463682175,0.4952398672863891,0.5232198142414861,0.3888888888888889,-3.0698140365519397
PEBBLES_L,3,22,0.001648268080316484,0.037031594663858414,0.7246004749253329,0.6194240542066629,0.22727272727272727,-22.495865634380525
PEBBLES_L,4,22,0.0003575797891244292,0.015029525384306908,0.4465990768941623,0.4263128176171655,0.9545454545454546,42.147007263599235
PEBBLES_M,2,21,0.001479757484048605,0.03360508009791374,0.008190006423118668,-0.006493506493506493,0.38095238095238093,-1.1681662490606852
PEBBLES_M,3,23,0.002255704952403903,0.043196436017751694,0.4151134867510296,0.35375494071146246,0.30434782608695654,-26.576189856402785
PEBBLES_M,4,21,0.0017664547776803374,0.03569726645946503,-0.07382780006197744,0.07532467532467534,0.5714285714285714,9.729909235866078
PEBBLES_S,2,22,0.0010699537815526128,0.02636575698852539,-0.0008468706957954536,-0.025409373235460195,0.5454545454545454,12.347624888929111
PEBBLES_S,3,22,0.0007295848336070776,0.01994328200817108,0.4278867247773699,0.5482778091473745,0.7727272727272727,19.452452421789225
PEBBLES_S,4,24,0.0033758366480469704,0.052238766103982925,0.45370891266431235,0.4356521739130434,0.75,21.91877105680178
